dok_id,rm,beteckning,titel,datum,debattnamn,dok_url_html,dok_url_text,date,year,month
HB09119,2023/24,119,Protokoll 2023/24:119 Onsdagen den 22 maj,2024-05-22,Protokoll,//data.riksdagen.se/dokument/HB09119.html,//data.riksdagen.se/dokument/HB09119.text,2024-05-22,2024,5
HB09120,2023/24,120,Protokoll 2023/24:120 Torsdagen den 23 maj,2024-05-23,Protokoll,//data.riksdagen.se/dokument/HB09120.html,//data.riksdagen.se/dokument/HB09120.text,2024-05-23,2024,5
HB09121,2023/24,121,Protokoll 2023/24:121 Fredagen den 24 maj,2024-05-24,Protokoll,//data.riksdagen.se/dokument/HB09121.html,//data.riksdagen.se/dokument/HB09121.text,2024-05-24,2024,5
HB09122,2023/24,122,Protokoll 2023/24:122 Måndagen den 27 maj,2024-05-27,Protokoll,//data.riksdagen.se/dokument/HB09122.html,//data.riksdagen.se/dokument/HB09122.text,2024-05-27,2024,5
HB09123,2023/24,123,Protokoll 2023/24:123 Tisdagen den 28 maj,2024-05-28,Protokoll,//data.riksdagen.se/dokument/HB09123.html,//data.riksdagen.se/dokument/HB09123.text,2024-05-28,2024,5
HB09124,2023/24,124,Protokoll 2023/24:124 Onsdagen den 29 maj,2024-05-29,Protokoll,//data.riksdagen.se/dokument/HB09124.html,//data.riksdagen.se/dokument/HB09124.text,2024-05-29,2024,5
HB09125,2023/24,125,Protokoll 2023/24:125 Torsdagen den 30 maj,2024-05-30,Protokoll,//data.riksdagen.se/dokument/HB09125.html,//data.riksdagen.se/dokument/HB09125.text,2024-05-30,2024,5
HB09126,2023/24,126,Protokoll 2023/24:126 Fredagen den 31 maj,2024-05-31,Protokoll,//data.riksdagen.se/dokument/HB09126.html,//data.riksdagen.se/dokument/HB09126.text,2024-05-31,2024,5
HB09127,2023/24,127,Protokoll 2023/24:127 Fredagen den 7 juni,2024-06-07,Protokoll,//data.riksdagen.se/dokument/HB09127.html,//data.riksdagen.se/dokument/HB09127.text,2024-06-07,2024,6
HB09128,2023/24,128,Protokoll 2023/24:128 Måndagen den 10 juni,2024-06-10,Protokoll,//data.riksdagen.se/dokument/HB09128.html,//data.riksdagen.se/dokument/HB09128.text,2024-06-10,2024,6
HB09129,2023/24,129,Protokoll 2023/24:129 Tisdagen den 11 juni,2024-06-11,Protokoll,//data.riksdagen.se/dokument/HB09129.html,//data.riksdagen.se/dokument/HB09129.text,2024-06-11,2024,6
HB09130,2023/24,130,Protokoll 2023/24:130 Onsdagen den 12 juni,2024-06-12,Protokoll,//data.riksdagen.se/dokument/HB09130.html,//data.riksdagen.se/dokument/HB09130.text,2024-06-12,2024,6
HB09131,2023/24,131,Protokoll 2023/24:131 Torsdagen den 13 juni,2024-06-13,Protokoll,//data.riksdagen.se/dokument/HB09131.html,//data.riksdagen.se/dokument/HB09131.text,2024-06-13,2024,6
HB09132,2023/24,132,Protokoll 2023/24:132 Fredagen den 14 juni,2024-06-14,Protokoll,//data.riksdagen.se/dokument/HB09132.html,//data.riksdagen.se/dokument/HB09132.text,2024-06-14,2024,6
HB09133,2023/24,133,Protokoll 2023/24:133 Lördagen den 15 juni,2024-06-15,Protokoll,//data.riksdagen.se/dokument/HB09133.html,//data.riksdagen.se/dokument/HB09133.text,2024-06-15,2024,6
HB09134,2023/24,134,Protokoll 2023/24:134 Måndagen den 17 juni,2024-06-17,Protokoll,//data.riksdagen.se/dokument/HB09134.html,//data.riksdagen.se/dokument/HB09134.text,2024-06-17,2024,6
HB09135,2023/24,135,Protokoll 2023/24:135 Tisdagen den 18 juni,2024-06-18,Protokoll,//data.riksdagen.se/dokument/HB09135.html,//data.riksdagen.se/dokument/HB09135.text,2024-06-18,2024,6
HB09136,2023/24,136,Protokoll 2023/24:136 Onsdagen den 19 juni,2024-06-19,Protokoll,//data.riksdagen.se/dokument/HB09136.html,//data.riksdagen.se/dokument/HB09136.text,2024-06-19,2024,6
HB09137,2023/24,137,Protokoll 2023/24:137 Måndagen den 24 juni,2024-06-24,Protokoll,//data.riksdagen.se/dokument/HB09137.html,//data.riksdagen.se/dokument/HB09137.text,2024-06-24,2024,6
HB09138,2023/24,138,Protokoll 2023/24:138 Tisdagen den 25 juni,2024-06-25,Protokoll,//data.riksdagen.se/dokument/HB09138.html,//data.riksdagen.se/dokument/HB09138.text,2024-06-25,2024,6
HB09139,2023/24,139,Protokoll 2023/24:139 Tisdagen den 20 augusti,2024-08-20,Protokoll,//data.riksdagen.se/dokument/HB09139.html,//data.riksdagen.se/dokument/HB09139.text,2024-08-20,2024,8
HB09140,2023/24,140,Protokoll 2023/24:140 Torsdagen den 29 augusti,2024-08-29,Protokoll,//data.riksdagen.se/dokument/HB09140.html,//data.riksdagen.se/dokument/HB09140.text,2024-08-29,2024,8
HB09141,2023/24,141,Protokoll 2023/24:141 Torsdagen den 5 september,2024-09-05,Protokoll,//data.riksdagen.se/dokument/HB09141.html,//data.riksdagen.se/dokument/HB09141.text,2024-09-05,2024,9
HC091,2024/25,1,Protokoll 2024/25:1 Tisdagen den 10 september,2024-09-10,Protokoll,//data.riksdagen.se/dokument/HC091.html,//data.riksdagen.se/dokument/HC091.text,2024-09-10,2024,9
HC092,2024/25,2,Protokoll 2024/25:2 Tisdagen den 10 september,2024-09-10,Protokoll,//data.riksdagen.se/dokument/HC092.html,//data.riksdagen.se/dokument/HC092.text,2024-09-10,2024,9
HC093,2024/25,3,Protokoll 2024/25:3 Onsdagen den 11 september,2024-09-11,Protokoll,//data.riksdagen.se/dokument/HC093.html,//data.riksdagen.se/dokument/HC093.text,2024-09-11,2024,9
